NOMBREADJUDICADO,total_pagado,num_contratos,pago_promedio,num_regiones,num_servicios,años_activo,CLUSTER
ARAUCO S.A.,60575090601,19,212544177.5473684,12,5,14,3
ARAYA HNOS S. A.,429740249,6,71623374.83333333,1,1,2,0
ARBOL LOGIKA SOCIEDAD ANONIMA.,91800000,1,22950000.0,1,1,2,0
ARCADIS CHILE S.A.,537229599,7,38373542.78571428,5,3,4,0
ARCADIS CHILE SPA.,6720122796,18,67201227.96,10,6,11,3
ARCE ARQUITECTOS LIMITADA,49820000,1,9964000.0,1,1,1,0
ARENAS Y SALGADO CONSTRUCCIONES E ING LTDA.,7023264657,21,39456543.016853936,2,5,8,3
ARIDOS Y CONSTRUCCIONES SOCAL LTDA.,72405674120,78,87026050.625,2,4,15,3
ARIDOS Y SERVICIOS SEGAL LTDA.,7506667633,18,81594213.4021739,3,1,3,0
ARIDOS Y TRANSPORTES LA FISCA LTDA.,27575179019,20,89240061.55016181,2,4,12,3
ARIEL LUHR RAUCH,11625062,1,11625062.0,1,1,1,0
ARIEL SEBASTIAN LUHR RAUCH,1202418993,6,48096759.72,1,3,4,0
ARISTO CONSULTORES SPA,140912089,1,15656898.777777778,1,1,1,0
ARLEGUI CONSTRUCTORA LIMITADA,873293606,4,58219573.733333334,2,1,3,0
ARNALDO RUBEN GOMEZ MUNOZ,39305000,4,7861000.0,2,2,2,0
ARQCHOAPA SPA,280630668,1,46771778.0,1,1,3,0
ARQDESIGN ARQUITECTOS CONSULTORES LTDA.,51900000,1,17300000.0,1,1,2,0
ARQLOFTS ARQUITECTURA LTDA.,111616000,2,11161600.0,2,1,3,0
ARQUETIPO LTDA.,1555330,2,777665.0,1,1,2,0
ARQUIMEDA LTDA.,3359274360,52,24342567.826086957,8,1,8,3
"ARQUITECTOS UGARTE, RODRIGUEZ ASOC. LTDA.",75799200,1,12633200.0,1,1,2,0
ARRAU INGENIERIA SPA,5467035563,17,58785328.6344086,9,4,10,3
ARRAVAL SPA.,390446805,8,21691489.166666668,2,3,6,0
ARRIENDO DE MAQUINARIAS Y SERVICIOS ASERMAQ LTDA.,64170000,2,21390000.0,1,1,2,0
ARRIENDO MAQ. HERRAMIENTAS VEHI. OBRAS CIV. MENOR,67670064,2,33835032.0,1,1,1,0
ARRIENDO MAQUINARIA PESADA INGEONEO SPA,590560841,4,31082149.52631579,2,2,2,0
ARRIENDOS Y SERVICIOS VALLE DEL SOL LTDA.,160254224,3,17806024.888888888,1,2,3,0
ARRIGONI INGENIERIA Y CONSTRUCCION S.A.,49324946566,8,302607034.14723927,6,4,9,3
ASCENSORES OTIS-CHILE LIMITADA,136767573,5,4022575.6764705884,2,1,3,0
ASES. CONSULTORIA COMERCIALIZADORA MERCATOR LTDA.,2996768387,11,42208005.450704224,9,2,11,3
ASES. CONSULTORIAS E INVESTIGACIONES BOREAL LTDA,93400000,1,23350000.0,1,1,2,0
ASESORIA SERVICIOS Y CONSTRUCCIONES LTDA,661144487,6,28745412.47826087,2,1,7,0
ASESORIAS E INVERSIONES SISMARKET LTDA,64000000,1,21333333.333333332,1,1,2,0
ASESORIAS PATRIMONIALES SER PATRIMONIO LIMITADA,64485000,1,32242500.0,1,1,1,0
ASESORIAS Y CONSTRUCCIONES NAVALES LTDA.,1092035266,4,218407053.2,2,1,3,0
ASESORIAS Y SERVICIOS PROFESIONALES LONCO S.A.,10000000,1,10000000.0,1,1,1,0
ASFALTOS VALPARAISO S.A.,1538097864,3,102539857.6,1,1,2,0
ASFALTOS VERGARA SOCIEDAD ANONIMA,19395764,3,6465254.666666667,1,1,2,0
ASTILLEROS Y MAESTRANZAS DE LA ARMADA,7733458577,15,241670580.53125,2,2,7,0
ASTILLEROS Y SERVICIOS NAVALES S.A.,1019196703,2,169866117.16666666,1,2,4,0
AT-EME CONSULTORES SPA.,897594231,10,23620900.815789472,4,1,7,0
AT-EME SA.,2405828,1,2405828.0,1,1,1,0
ATESET Y COMPANIA LTDA,6899620,1,6899620.0,1,1,1,0
AUDIOPRO LTDA.,53862375,1,53862375.0,1,1,1,0
AUGUSTO GUTIERREZ GUAJARDO,11012747843,16,67150901.48170732,2,3,12,3
AUSTRAL PATAGONIA SPA,272232773,2,27223277.3,2,2,2,0
AUTOMATICA Y REGULACION S.A.,157284322,2,52428107.333333336,2,1,2,0
AXH ARQUITECTOS LIMITADA,141089822,1,70544911.0,1,2,2,0
AXIOMA INGENIEROS CONSULTORES S.A.,6025617161,12,39904749.41059603,9,3,13,3
AYALA CABRERA Y ASOCIADOS LTDA.,467434486,9,33388177.57142857,3,2,3,0
"AYALA, CABRERA Y ASOCIADOS LTDA.",1346619936,22,31316742.69767442,5,5,10,3
AZVI CHILE S.A.,17952949546,1,641176769.5,1,1,3,0
AZVI PICHOY LTDA.,26704412164,1,721740869.2972972,1,1,4,0
BAIRD Y ASSOCIATES S.A.,18036654,1,18036654.0,1,1,1,0
BAPER S.A.,5918654320,20,68030509.42528735,3,2,5,0
BARO INGENIERIA S.A,1187097175,12,34914622.794117644,1,1,3,0
BARROS Y BARROS LTDA.,46862032946,22,203747969.33043477,4,3,12,3
BARROS Y BRUZZONE LTDA.,3682485319,5,108308391.73529412,1,1,3,0
"BARROS, BASTIAS Y SUAZO CIA LTDA",253849582,4,21154131.833333332,3,2,3,0
BASILIO AGUIRRE ROJAS,2586593062,29,29393102.977272727,1,1,7,0
BDL SOLUCIONES ESTRUCTURALES SPA,66000000,1,16500000.0,1,1,2,0
BELLA FLOR DE LAS MARIAS VILLARREAL OSORIO,100404584,4,14343512.0,1,1,2,0
BERMAD FLUID SOLUTIONS S.A.,163348514,2,40837128.5,1,1,1,0
BERNARDO ANTONIO ROJAS ORDENES,10320137147,68,36726466.71530249,2,2,10,3
BERSAL INGENIERIA S.A.,1104791120,3,44191644.8,2,2,4,0
BESALCO S.A.,249232329203,25,539463916.0238096,9,4,14,1
BGS INGENIERIA HIDRAULICA LIMITADA,238767769,1,47753553.8,1,1,1,0
BOGGIONI & BOGGIONI LTDA,99710100,1,99710100.0,1,1,1,0
BOZIC INGENIERIA Y CONSTRUCCION LTDA,70512056261,63,140183014.43538767,4,11,15,3
BRAULIO ENRIQUE ESCOBAR GARRIDO,20825200,2,6941733.333333333,1,1,1,0
BRICENO Y TREJOS URBANIZACIONES LTDA,13157456461,29,56228446.41452991,3,2,12,3
BROTEC CONSTRUCCION LTDA,14504858238,4,805825457.6666666,1,2,3,0
BROTEC CONSTRUCCION SPA,50707524023,10,440934991.5043478,4,3,7,3
BRUNDL CONSTRUCCIONES S.A.,148047722773,49,258824690.1625874,11,6,15,1
C Y C ASESORIAS PROFESIONALES LTDA.,73310000,1,36655000.0,1,1,1,0
C Y C INGENIEROS CIVILES LIMITADA,7955160,1,7955160.0,1,1,1,0
C. F. INGENIERIA LIMITADA,17650000,1,17650000.0,1,1,1,0
C.G.E. DISTRIBUCION S.A.,55611457,2,27805728.5,2,2,2,0
CACCIUTTOLO WERNER ARQUITECTOS ASOC.LTDA,303200000,2,43314285.71428572,2,2,4,0
CALC SERVICIOS DE INGENIERÍA Y OTROS SPA,999600,1,999600.0,1,1,1,0
CAMILA JAVIERA ANDREA VARGAS ANTISOLY,5580957989,18,87202468.578125,1,7,7,3
CAMILA VALENZUELA VALDIVIA,394089101,1,65681516.833333336,1,1,1,0
CAMINO FARFAN Y CARRERA ING. LTDA,117764507,6,7850967.133333334,4,2,2,0
CAMINO NUEVO ING Y CONSTRUCCION LTDA.,42505097015,37,90244367.33545648,4,3,13,3
CAPTAGUA INGENIERIA S.A.,966467205,1,69033371.78571428,1,1,2,0
CARLA ARAYA LIMITADA,123488855,2,11226259.545454545,1,1,3,0
CARLOS A. SANCHEZ PALMA,2194156492,5,40632527.62962963,1,2,5,0
CARLOS ALBERTO BOBADILLA FERNANDEZ,28526680,2,7131670.0,1,1,1,0
CARLOS ALBERTO MONTECINOS GALLEGUILLOS,171333333,1,34266666.6,1,1,2,0
CARLOS AUGUSTO MARTINEZ TOBAR,5501159099,9,53932932.34313726,1,2,8,0
CARLOS BARRIOS ALBORNOZ EMP INDIVIDUAL DE RESPONS.,941181579,4,58823848.6875,1,1,1,0
CARLOS EUSEBIO SALDIAS MORALES E.I.R.L.,2011545916,24,26467709.42105263,7,3,7,3
CARLOS IBAR HERNANDEZ CONSTRUCCIONES EIRL,811917218,4,27997145.44827586,1,2,4,0
CARLOS IGNACIO JERONIMO ARAYA,9596160,1,9596160.0,1,1,1,0
CARLOS MARCELO GONZALEZ QUINTEROS,135269866,2,27053973.2,1,1,2,0
CARLOS MARIN E HIJOS LTDA.,6532213934,2,107085474.32786885,1,1,3,0
CARLOS MAURICIO SIEGWEL TIKE,9988860,1,4994430.0,1,1,1,0
CARLOS MUJICA H. ING. ELECTRICA TELECOM. Y C. EIRL,399741666,6,18170075.727272727,1,1,3,0
CARLOS PATRICIO CORDOVA VINET,81616200,9,9068466.666666666,1,1,4,0
CARLOS QUINTEROS MUNIZAGA,92257555,2,15376259.166666666,1,2,2,0
CARLOS RODOLFO ROJAS ZAPATA,2539560437,11,52907509.104166664,2,3,3,0
CARLOS SANDRO MUNOZ CABRERA,1011948486,25,7332960.043478261,1,2,10,3
"CARMEN PAZ LEIVA SAEZ, ING.ELEC. Y CONST. E.I.R.L.",111700501,1,55850250.5,1,1,1,0
