NOMBREADJUDICADO,total_pagado,num_contratos,pago_promedio,num_regiones,num_servicios,años_activo,CLUSTER
CONSORCIO SALFA - DESCO LTDA.,1724473983,1,143706165.25,1,1,2,0
CONSORCIO SALFA - FG S.A.,8072386989,1,322895479.56,1,1,3,0
CONSORCIO SALFA Y ASOCIADOS S.A,7823502014,1,372547714.95238096,1,1,5,0
CONSORCIO SANTA FE - P&A S. A.,441365859,1,55170732.375,1,1,3,0
CONSORCIO SEGURIDAD VIAL APSA-LEN LTDA.,406924800,1,67820800.0,1,1,2,0
CONSORCIO SICE COMASCA TLP S.A.,7666182648,1,163110269.10638297,1,1,5,0
CONSORCIO TORRESTECH 2 SPA,318381413,1,159190706.5,1,1,1,0
CONSORCIO TORRESTECH SPA,647135297,1,71903921.8888889,1,1,2,0
CONSORCIO TRASA TESTING LTDA,344336180,1,13773447.2,1,1,3,0
CONSORCIO VALKO-APIA LTDA.,14021506649,1,539288717.2692307,1,1,4,0
CONSORCIO VALLE HERMOSO S.A.,58112375682,1,1185966850.6530612,1,1,4,0
CONSORCIO VECCHIOLA - GEVIAL RUTA C-46 LTDA.,7300375608,1,292015024.32,1,1,4,0
CONSORCIO VIADUCTO CHAMIZA S.A.,24438679513,1,610966987.825,1,1,4,0
CONST ALADIN HAROLDO MORALES MOYANO NICING LIMITAD,938830536,3,39117939.0,1,1,3,0
CONST ALEXIS AVENDAÑO CISTERNAS EIRL,238837503,1,34119643.28571428,1,1,2,0
CONST Y MONTAJES COM. SA.,3794708889,4,164987343.0,2,1,3,0
CONST. DE PAVIMENTOS ASFALTICOS BITUMIX S.A.,627089765333,433,219492392.48617432,15,12,15,1
CONST. DEM. MOV. DE TIERRA Y TRANSPORTE DEMCO LTDA,206854808,8,20685480.8,1,2,3,0
CONST. E INMOB. LUIS  FIGUEROA SAN CELEDONIO EIRL.,112558427,2,16079775.285714285,1,1,3,0
CONST. E INMOB.PEREZ Y FLORES LTDA.,23954692371,32,105527279.16740088,2,5,14,3
CONST. GONZALEZ GARCIA LTDA.,1066038195,8,41001469.038461536,1,2,2,0
CONST. Y ASES. EN MINERIA JORGE VERA BORQUEZ EIRL,1573335301,10,38374031.73170732,1,2,3,0
CONST.Y MONTAJES INDUST.ANGELICA MARIA VALDES ALEG,21930050,1,10965025.0,1,1,1,0
CONSTR. CARLOS ALBERTO ABISTUR REYES EIRL,394877360,1,65812893.333333336,1,2,2,0
CONSTR.GERARDO A.HENRIQUEZ POLANCO E.I.R.L.,1281890106,6,51275604.24,2,3,3,0
CONSTR.LUIS A. GONZALEZ CISTERNAS E.I.R.L.,1570072387,5,65419682.791666664,2,1,3,0
CONSTR.TRANSPORTES E INMOB.HECTOR ROMAN Y OTRO LTD,14232133353,12,153033691.96774194,2,5,6,3
CONSTRCUTORA SANTA CARMEN SPA,102494700,7,11388300.0,1,1,1,0
CONSTRUC ESPECIALIDADES Y EQUIPOS S. A.,47427450,1,47427450.0,1,1,1,0
CONSTRUC. ASESORIAS E INVERSIONES MONSERRAT S.A.,80402980,3,8040298.0,1,1,1,0
CONSTRUC. Y MOV. DE TIERRA MONSALVE HNOS. LTDA.,5944055856,25,47175046.47619048,2,2,7,0
CONSTRUCC.INGENIERÍA SUYAI SPA,384737191,2,27481227.92857143,1,1,1,0
CONSTRUCCION E INGENIERIA CASTILLO LTDA,1580110610,7,45146017.428571425,3,2,4,0
CONSTRUCCION INGENIERIA Y PROYECTOS CODAM LTDA.,367775789,4,26269699.214285713,1,1,3,0
CONSTRUCCION Y MAQUINARIAS INGARD LTDA.,2985636805,4,149281840.25,1,1,2,0
CONSTRUCCION Y SERVICIOS CICAT LIMITADA,11094326775,25,50891407.22477064,5,3,11,3
CONSTRUCCION Y SERVICIOS DE INGENIERIA LIMITADA,11877866277,45,60601358.55612245,6,4,15,3
CONSTRUCCION Y SERVICIOS LTDA.,663630548,4,34927923.578947365,1,1,4,0
CONSTRUCCION Y SERVICIOS ROJAS Y HOOPER LIMITADA,1675274881,9,32216824.634615384,2,3,5,0
"CONSTRUCCION, MAQUINARIAS, MANTENCION Y SERVICIOS",59657872,1,11931574.4,1,1,1,0
CONSTRUCCIONES  E INGENIERIA MCADAM SPA,8258458804,9,206461470.1,2,2,3,0
CONSTRUCCIONES ALBES LIMITADA,2332380210,6,58309505.25,1,1,6,0
CONSTRUCCIONES E INGENIERIA DEL NORTE LIMITADA,656540843,5,27355868.458333332,1,2,4,0
CONSTRUCCIONES FRANCISCO JAVIER SAEZ SAEZ EIRL,15975810,2,7987905.0,1,1,1,0
CONSTRUCCIONES INTEGRALES FIGUEROA LTDA.,2017408399,16,45850190.88636363,1,1,7,0
CONSTRUCCIONES MANSILLA HNOS. LTDA.,5459760720,6,69110895.18987341,1,2,4,0
CONSTRUCCIONES RAFAEL ATENO ATENO E.I.R.L.,38599111,1,12866370.333333334,1,1,1,0
CONSTRUCCIONES TRANSPORTES E INGEN PROSCHLE SPA,8357173121,26,61001263.656934306,4,6,11,3
CONSTRUCCIONES URALES CHILE S.A,28283727759,2,565674555.18,1,3,4,0
CONSTRUCCIONES Y APLICACIONES CONTRACTAL LTDA,638677706,1,212892568.66666666,1,1,1,0
CONSTRUCCIONES Y ASESORIAS EN MINERIA SPA,6730521275,27,44572988.57615894,1,5,10,3
CONSTRUCCIONES Y MAQUINARIAS BSF LTDA.,73023160,2,36511580.0,1,1,1,0
CONSTRUCCIONES Y MINERIA MENDEZ E.I.R.L.,104381277,2,20876255.4,1,1,1,0
CONSTRUCCIONES Y PAVIMENTOS LIMITADA,237666465984,60,505673331.8808511,9,6,15,1
CONSTRUCCIONES Y SERVICIOS GLOBALES SPA,3452185,1,3452185.0,1,1,1,0
CONSTRUCCIONES Y SERVICIOS LANALHUE S.A.,1041791719,9,47354169.04545455,2,3,6,0
CONSTRUCCIONES Y TRANSPORTES HIBISCO LTDA.,372672332,1,28667102.46153846,1,1,3,0
CONSTRUCIONES G Y R LTDA,44269317,1,11067329.25,1,1,2,0
CONSTRUCTORA  A.R.V. LIMITADA,2686731031,6,122124137.77272727,2,2,2,0
CONSTRUCTORA  PUERTO OCTAY LTDA,91554616304,42,128950163.8084507,2,6,15,3
CONSTRUCTORA  TARA-COMPU LTDA.,25844131750,1,630344676.8292683,1,1,7,0
CONSTRUCTORA  VALCACI LTDA,8512234,1,8512234.0,1,1,1,0
CONSTRUCTORA +SPACIO SPA,811886618,11,17649709.086956523,3,5,4,3
CONSTRUCTORA ACUA TERRA SPA.,499637394,4,38433645.692307696,1,2,2,0
CONSTRUCTORA AGEOVIAL LTDA.,2367402720,12,48314341.22448979,4,2,3,0
CONSTRUCTORA AGEOVIAL SPA,2496124369,9,59431532.5952381,4,2,2,0
CONSTRUCTORA AHTCO LIMITADA,67568199,1,33784099.5,1,1,1,0
CONSTRUCTORA AHUMADA LIMITADA,16287152905,36,82258348.00505051,5,9,15,3
CONSTRUCTORA AIRES DEL SUR LIMITADA,116193467942,76,140840567.20242423,8,3,15,1
CONSTRUCTORA ALADIN MORALES MOYANO EIR,3884742519,11,58859735.13636363,2,1,4,0
CONSTRUCTORA ALFAVIAL LIMITADA,21506017318,19,119477873.98888889,4,6,10,3
CONSTRUCTORA ALMA FUERTE LTDA,4192349390,15,61652196.9117647,5,3,5,3
CONSTRUCTORA ALTAFE SPA,22247202294,18,135653672.52439025,3,5,7,3
CONSTRUCTORA ALTOMIN LTDA,319681213,1,53280202.166666664,1,1,2,0
CONSTRUCTORA ALTOS DEL MAIPO LTDA.,1851528777,8,30858812.95,4,2,5,0
CONSTRUCTORA ALVIAL S.A.,2140310081,13,49774653.04651163,2,2,3,0
CONSTRUCTORA ANDALIEN LTDA,21561095675,36,91749343.29787233,3,7,15,3
CONSTRUCTORA ANGEL BARTOLOME CECCHI LTDA,11398749197,16,95787808.37815127,2,5,14,3
CONSTRUCTORA APOLO LTDA.-,156542432,2,19567804.0,1,2,2,0
CONSTRUCTORA APOLO SPA,1989709468,1,284244209.71428573,1,2,2,0
CONSTRUCTORA ARA-CHILE LTDA.,332551926,1,166275963.0,1,1,1,0
CONSTRUCTORA ARAUCO - MAULE LTDA,6276762753,2,190204931.9090909,2,1,5,0
CONSTRUCTORA ARAUCO SPA,895211589,1,179042317.8,1,1,2,0
CONSTRUCTORA ARAYA HERMANOS LTDA.,16959487843,6,113063252.28666666,2,1,9,0
CONSTRUCTORA ARRAYAN LTDA.,240342017,3,34334573.85714286,2,1,2,0
CONSTRUCTORA ARTURO LEAL SPA,7161447350,6,130208133.63636364,2,3,4,0
CONSTRUCTORA ARTURO OLAVARRIA E HIJOS LTDA,23510943332,20,107355905.62557077,1,3,10,3
CONSTRUCTORA ASFALCURA S.A.,20449873805,16,276349646.0135135,5,2,5,3
CONSTRUCTORA ASFALCURA S.P.A,58238211896,33,340574338.57309943,7,5,10,3
CONSTRUCTORA ASFALMIX S.A.,198212567,2,33035427.833333332,2,1,2,0
CONSTRUCTORA ATACAGUA S.A.,54890730680,97,120904693.1277533,7,7,15,3
CONSTRUCTORA ATQ S.A.,7841793911,1,392089695.55,1,1,4,0
CONSTRUCTORA ATRIA IC SPA,1533743203,12,21602016.943661973,1,2,6,0
CONSTRUCTORA AYEMCO LTDA,904389945,1,100487771.66666667,1,2,2,0
CONSTRUCTORA AYSEN LTDA,630914079,5,45065291.35714286,2,2,3,0
CONSTRUCTORA B M LTDA,2194677242,24,44789331.469387755,1,3,8,3
CONSTRUCTORA B Y C LTDA.,1309136844,2,163642105.5,1,1,3,0
CONSTRUCTORA BALMACEDA LTDA,896802214,1,64057301.0,1,1,2,0
CONSTRUCTORA BASCO S.A.,3521780883,2,207163581.3529412,1,1,2,0
CONSTRUCTORA BAUEN CHILE LTDA.,260091422,2,28899046.888888888,1,1,2,0
CONSTRUCTORA BEC LIMITADA,2819326513,19,42717068.378787875,1,2,10,3
CONSTRUCTORA BELCO E.I.R.L.,18111897,1,4527974.25,1,1,1,0
CONSTRUCTORA BOROA SUR SRL,112850710,1,37616903.333333336,1,1,1,0
CONSTRUCTORA BOTACURA LIMITADA,116624778,1,19437463.0,1,1,1,0
CONSTRUCTORA BRISAHER LIMITADA,7682019015,36,53347354.270833336,4,5,15,3
CONSTRUCTORA BSC LTDA.,5408302224,22,60767440.71910112,2,3,11,3
CONSTRUCTORA BYA LTDA.,12583728352,21,161329850.66666666,8,9,5,3
CONSTRUCTORA C & M LIMITADA,129835183,2,25967036.6,1,3,4,0
CONSTRUCTORA CALAFQUEN SPA,6174629496,22,58251221.66037736,7,8,7,3
CONSTRUCTORA CAMPODONICO Y CIA. LTDA.,587014984,2,45154998.76923077,1,1,3,0
CONSTRUCTORA CAPABLANCA LTDA.,170212084,1,34042416.8,1,1,2,0
CONSTRUCTORA CARCAMO DIAZ Y CIA LTDA,74369873,2,12394978.833333334,1,1,3,0
CONSTRUCTORA CARLOS R.GARCIA GROSS LTDA.,19830222665,31,103823155.31413613,3,4,4,3
CONSTRUCTORA CARLOS RENE GARCIA GROSS LTDA.,57938665672,32,124065665.25053534,4,4,7,3
CONSTRUCTORA CARLOS SILES CARVAJAL EIRL,1497877351,1,55476938.925925925,1,1,4,0
CONSTRUCTORA CAROLINA LTDA.,7450728599,41,56020515.781954885,2,1,7,0
CONSTRUCTORA CARRAN LTDA,244238079,1,30529759.875,1,1,1,0
CONSTRUCTORA CELERA S.A,383778892,1,76755778.4,1,1,2,0
CONSTRUCTORA CERCO LTDA.,188404090,4,15700340.833333334,1,1,2,0
CONSTRUCTORA CIM LTDA.,233476144,1,38912690.666666664,1,1,2,0
CONSTRUCTORA CIRAL LTDA,762957669,6,47684854.3125,1,1,3,0
CONSTRUCTORA CIRO LIMITADA,563957183,2,80565311.85714285,1,1,1,0
CONSTRUCTORA CLAUDIO ALEXIS CRUZ DINAMARCA E.I.R.L,50471016,1,50471016.0,1,1,1,0
CONSTRUCTORA CMST SPA,6630680,1,3315340.0,1,1,1,0
CONSTRUCTORA CODIHUE E.I.R.L,1424163348,2,71208167.4,1,2,3,0
CONSTRUCTORA COLONOS LIMITADA,13387500,1,13387500.0,1,1,1,0
CONSTRUCTORA COMARCO LTDA.,1571194995,8,41347236.71052632,4,2,5,0
CONSTRUCTORA COMASCA S.A.,55944394087,34,106560750.64190476,1,3,15,3
CONSTRUCTORA CON-PAX S.A.,37307230402,17,339156640.0181818,6,3,5,3
CONSTRUCTORA CON-PAX SPA,197140743779,24,556894756.4378531,9,5,11,1
CONSTRUCTORA CONSORCIO QUILLIN-ECOPSA LTDA,4071769426,1,150806275.03703704,1,2,5,0
CONSTRUCTORA CONSUL S.A.,33528369236,20,127970874.94656488,2,4,15,3
CONSTRUCTORA COPCISA S. A.,262616780,1,87538926.66666667,1,1,1,0
CONSTRUCTORA CORVAL S.A.,66450228416,96,85631737.64948453,5,9,14,3
CONSTRUCTORA COSAL S.A.,29956107244,28,106227330.65248227,3,6,14,3
CONSTRUCTORA COSIGMA LIMITADA,3762247729,18,43747066.61627907,5,3,7,3
CONSTRUCTORA CPU LTDA,12537527960,25,97190139.2248062,4,3,4,3
CONSTRUCTORA CUMBRES DEL MAULE,620090495,3,41339366.333333336,1,2,4,0
CONSTRUCTORA DAB LTDA.,655183279,1,81897909.875,1,1,1,0
CONSTRUCTORA DALBORA TORMO SPA,300015700,6,21429692.85714286,1,2,5,0
CONSTRUCTORA DE ESPECIALIDADES Y EQUIPOS SPA,970775015,8,88252274.0909091,1,1,3,0
CONSTRUCTORA DE VICENTE S.A.,3117938259,3,129914094.125,2,1,3,0
CONSTRUCTORA DEFLUV LTDA.,11052664943,31,86348944.8671875,2,7,12,3
CONSTRUCTORA DEL PACIFICO SOCIEDAD ANONIMA,182608467,1,26086923.85714286,1,1,1,0
CONSTRUCTORA DEL PUERTO LTDA,1690584728,4,52830772.75,2,2,5,0
CONSTRUCTORA DEL RIO LTDA,175669817,1,35133963.4,1,1,1,0
CONSTRUCTORA DIEGO A. HERRERA PACHECO Y CIA LTDA,248688109,3,15543006.8125,1,2,4,0
CONSTRUCTORA DUHAU SPA,4856047536,11,93385529.53846154,3,6,8,3
CONSTRUCTORA DURAN Y VARGAS LTDA.,1964734419,13,37070460.73584906,1,4,8,3
CONSTRUCTORA E INGENIERIA DAITAO TEPUAL LTDA.,695487215,4,31613055.227272727,1,2,2,0
CONSTRUCTORA E INGENIERIA ELISEO SPA,6299420215,13,196856881.71875,5,5,4,3
CONSTRUCTORA E INGENIERIA HUALLES LTDA,2576023646,7,58545991.95454545,1,3,4,0
CONSTRUCTORA E INMOBILIARIA CONSVAL LTDA.,1233910727,6,41130357.56666667,2,4,4,0
CONSTRUCTORA E INMOBILIARIA CRV S.A.,1364924290,10,24373648.035714287,1,2,3,0
CONSTRUCTORA E INMOBILIARIA CUMBRES ALTAS S.A.,459276107,3,76546017.83333333,1,1,1,0
CONSTRUCTORA E INMOBILIARIA GABA LIMITADA,2127864670,8,53196616.75,1,1,6,0
CONSTRUCTORA E INMOBILIARIA GOVIAL SPA,7411398569,12,137248121.64814815,6,3,5,3
CONSTRUCTORA E INMOBILIARIA SOCOIN SPA,7808932794,28,57418623.48529412,4,7,8,3
CONSTRUCTORA E INMOBILIARIA TRIMETAL LTDA.,164932837,1,54977612.333333336,1,1,2,0
CONSTRUCTORA E INVERSIONES  M E  LTDA.,14526162840,46,71911697.22772278,3,3,10,3
CONSTRUCTORA E INVERSIONES GRUPO CAPITAL LTDA.,1103986894,8,32470202.76470588,1,1,3,0
CONSTRUCTORA E INVERSIONES VITAL LTDA.,12576257862,9,147955974.84705883,3,3,8,3
CONSTRUCTORA E Y P  SPA,1378201818,7,37248697.783783786,5,3,3,0
CONSTRUCTORA ECOFER SPA,9032758714,13,141136854.90625,4,7,6,3
CONSTRUCTORA ECOPSA SOCIEDAD ANONIMA,9637696485,16,108288724.5505618,5,2,5,3
CONSTRUCTORA ECOPSA SPA,73219114518,47,163435523.47767857,10,4,10,3
CONSTRUCTORA EDECO COMSA  S.A.,4633541182,1,289596323.875,1,1,2,0
CONSTRUCTORA EDEN SA,1065282745,3,38045812.321428575,1,1,5,0
CONSTRUCTORA EL BOSQUE LTDA.,117248968905,54,131297837.51959686,4,5,15,3
CONSTRUCTORA EL MIRADOR SPA,223296868,1,44659373.6,1,1,1,0
CONSTRUCTORA EL SAUCE S. A.,4190692679,6,182204029.52173913,2,3,4,0
CONSTRUCTORA ELENA SPA,50000230,1,25000115.0,1,2,2,0
CONSTRUCTORA ELORZA GUTIERREZ TRONCOSO LTDA.,153445613,1,21920801.85714286,1,1,2,0
CONSTRUCTORA EMI SPA,48028400,1,24014200.0,1,1,2,0
CONSTRUCTORA ENCO LTDA,1563405673,6,50432441.06451613,1,2,4,0
CONSTRUCTORA EVEREST S.A.,1013669464,7,53351024.421052635,2,3,2,0
CONSTRUCTORA EXCON SA,9661693017,1,690120929.7857143,1,1,3,0
CONSTRUCTORA FENIX SOCIEDAD ANONIMA,75354922873,34,203661953.7108108,2,3,15,3
CONSTRUCTORA FERNANDO ANDRES BECERRA ALARCON EIRL.,440245723,16,18343571.791666668,2,1,5,0
CONSTRUCTORA FERNANDO ANDRES BECERRA ALARCON SPA.,9424051190,11,144985402.92307693,2,4,4,0
CONSTRUCTORA FLORES Y MANRIQUEZ LIMITADA,61798011,1,12359602.2,1,1,1,0
CONSTRUCTORA FRANCISCO ESPINOZA SPA,4878490958,16,41696503.91452991,3,4,6,3
CONSTRUCTORA FULLTERRA,12132963808,22,68937294.36363636,3,1,12,3
CONSTRUCTORA FUTURO SPA,4516052083,4,173694310.8846154,2,1,5,0
CONSTRUCTORA FV LTDA.,26805811248,23,155847739.8139535,7,1,3,3
CONSTRUCTORA FV S.A.,301383157755,90,440618651.6885965,12,5,11,1
CONSTRUCTORA FV SA,17419793190,8,580659773.0,5,1,1,0
CONSTRUCTORA G10 SPA,5032043444,23,62900543.05,1,6,8,3
CONSTRUCTORA GEPCO LIMITADA,558104737,4,42931133.615384616,2,2,3,0
CONSTRUCTORA GEPCO LTDA,333605720,1,37067302.222222224,1,1,2,0
CONSTRUCTORA GHG S.A.,1671791886,1,238827412.2857143,1,1,2,0
CONSTRUCTORA GONZALEZ GARCIA LTDA.,29589364281,35,88590911.02095808,3,8,13,3
CONSTRUCTORA GUERRA Y CIA LTDA,1398845526,10,43713922.6875,2,3,4,0
CONSTRUCTORA GUSTAVO RIVERA EIRL,103763132,5,11529236.888888888,1,1,1,0
CONSTRUCTORA GUTIERREZ HNOS. LTDA.,51370965291,19,120306710.28337237,4,3,15,3
CONSTRUCTORA H Y O LTDA.,17363652644,36,78925693.83636364,1,4,11,3
CONSTRUCTORA HALKIDA S.A.,2919692325,29,35606003.96341463,2,4,10,3
CONSTRUCTORA HERNAN MANCILLA MARTINICH E.I.R.L.,1084223316,6,47140144.17391305,1,3,4,0
CONSTRUCTORA HERRERA Y ASOCIADOS LTDA.,68917739,1,17229434.75,1,1,1,0
CONSTRUCTORA HIDRO RURAL LIMITADA,2927884668,12,45748197.9375,2,3,5,0
CONSTRUCTORA HUEFEL LIMITADA,881705927,8,22042648.175,1,2,4,0
CONSTRUCTORA HURUE LTDA,32993753731,44,167480983.40609136,6,11,8,3
CONSTRUCTORA I & C LIMITADA,613235885,2,43802563.21428572,1,1,3,0
CONSTRUCTORA ICARTE E.I.R.L.,746982000,2,62248500.0,1,1,2,0
CONSTRUCTORA ILLAPEL S.A,3416081520,11,55098089.03225806,2,2,2,0
CONSTRUCTORA ILLAPEL S.A.,16072241246,23,82001230.84693877,2,5,5,3
CONSTRUCTORA INDICO LTDA.,1983432424,1,116672495.52941176,1,1,2,0
CONSTRUCTORA INGEBACH LIMITADA,2713679338,12,45994565.050847456,4,4,5,3
CONSTRUCTORA INGEBEL SPA,11449118696,17,89446239.8125,1,3,7,0
CONSTRUCTORA INGENIEROS ASOCIADOS LTDA.,103180011269,43,231865193.86292136,3,1,11,3
CONSTRUCTORA INMAFER SPA,4571293557,11,58606327.65384615,1,3,8,0
CONSTRUCTORA INSULAR LTDA,354010581,2,59001763.5,1,1,1,0
CONSTRUCTORA INTECPA LTDA.,292648730,1,19509915.333333332,1,1,2,0
CONSTRUCTORA INTERNACIONAL S.A.,36272304560,9,290178436.48,4,3,8,3
CONSTRUCTORA ITACO LTDA.,656696005,2,50515077.307692304,1,1,3,0
CONSTRUCTORA ITINEX LIMITADA,35026849404,11,153626532.47368422,2,3,8,3
CONSTRUCTORA JARVIAL LTDA.,257844306,2,32230538.25,1,1,2,0
CONSTRUCTORA JAVIER WULF Y CIA. LTDA.,277844284,1,25258571.272727273,1,1,2,0
CONSTRUCTORA JBC SPA,697381990,3,38743443.88888889,1,2,5,0
CONSTRUCTORA JEP LTDA.,11673195043,2,121595781.69791667,1,1,6,0
CONSTRUCTORA JULIO Y ORQUERA LTDA,987001921,3,47000091.47619048,1,2,3,0
CONSTRUCTORA KADEL SPA,20423348891,29,123032222.23493975,3,3,7,3
CONSTRUCTORA KARPENISI LTDA.,865508072,8,27919615.225806452,3,3,6,0
CONSTRUCTORA KYR SPA,9918503889,8,122450665.2962963,1,5,6,3
CONSTRUCTORA LA ALFONSINA SPA,268030150,3,26803015.0,2,3,2,0
CONSTRUCTORA LA CRUZ SPA,1447989733,12,26327086.054545455,2,1,4,0
CONSTRUCTORA LA CUESTA SPA.-,1061091867,10,30316910.485714287,1,5,5,3
CONSTRUCTORA LAHUEN S.A,961566596,1,96156659.6,1,1,1,0
CONSTRUCTORA LAS LENGAS  LIMITADA,440110039,4,25888825.82352941,2,2,1,0
CONSTRUCTORA LAS LENGAS SPA,27817049125,39,103026107.87037037,7,7,10,3
CONSTRUCTORA LAS TRANQUERAS LTDA,32450853,1,16225426.5,1,1,1,0
CONSTRUCTORA LFM LTDA.,3511796217,8,73162421.1875,2,3,6,0
CONSTRUCTORA LIMA LTDA.,898096123,3,74841343.58333333,1,1,2,0
CONSTRUCTORA LIRCAY Y CIA. LTDA.,4555497892,22,66992616.058823526,3,3,3,0
CONSTRUCTORA LLOLLELHUE SPA,308178437,2,23706033.615384616,1,1,4,0
CONSTRUCTORA LOFE LTDA,3418460426,23,37982893.62222222,5,5,7,3
CONSTRUCTORA LOS LLEUQUES SPA,8031654562,10,121691735.78787878,4,4,5,3
CONSTRUCTORA LOS LLLEUQUES SPA,1154625753,2,96218812.75,2,1,1,0
CONSTRUCTORA LOS ROBLES CJP LIMITADA,6979079160,13,102633517.05882353,4,3,4,0
CONSTRUCTORA LUIS NAVARRO S.A,5231858956,5,124568070.38095239,1,2,5,0
CONSTRUCTORA LUIS NAVARRO S.A.,9444504082,8,91694214.38834952,2,2,4,0
CONSTRUCTORA MAGA LIMITADA,6534075341,12,114632900.71929824,2,3,4,0
CONSTRUCTORA MAI CHILE SPA,310753909,1,62150781.8,1,1,2,0
CONSTRUCTORA MAK SUR SPA,3823179940,9,70799628.51851852,1,3,3,0
"CONSTRUCTORA MANARQ, ARQUITECTURA Y CONSTRUCCION",473629491,3,19734562.125,1,1,5,0
CONSTRUCTORA MAPUE LTDA.,30940000,3,10313333.333333334,1,1,1,0
CONSTRUCTORA MARCELO HAROLDO MORALES EIRL,11221219383,13,87665776.4296875,2,3,5,0
CONSTRUCTORA MARCELO RIVANO LTDA.,750280280,2,83364475.55555555,1,2,2,0
CONSTRUCTORA MARCOS AUGUSTO SANTANDER ROJAS EIRL,1282284625,2,106857052.08333333,2,2,3,0
CONSTRUCTORA MASSAN SPA,75836843,1,75836843.0,1,1,1,0
CONSTRUCTORA MAV SPA,531115274,5,16597352.3125,1,2,3,0
CONSTRUCTORA MAVASA LIMITADA,301666911,2,100555637.0,1,1,2,0
CONSTRUCTORA MBS EIRL,154289908,1,38572477.0,1,1,2,0
CONSTRUCTORA MELENDEZ LTDA.,30276954722,15,213217991.0,2,2,9,3
CONSTRUCTORA MILANESI Y CIA. LTDA.,1718477856,6,114565190.4,1,1,5,0
CONSTRUCTORA MILLARAY LTDA,96067249,2,10674138.777777778,1,1,2,0
CONSTRUCTORA MOVITERRA LTDA.,364326298,1,33120572.545454547,1,1,1,0
CONSTRUCTORA NAHUELCURA SPA.,243878862,1,27097651.333333332,1,1,1,0
CONSTRUCTORA NANKUL LTDA,189387156,2,21043017.333333332,1,1,1,0
CONSTRUCTORA NARVAEZ SPA,1027025422,11,23884312.139534883,1,2,6,0
CONSTRUCTORA NASCA LTDA.,6630176005,6,64370640.82524272,3,1,6,0
CONSTRUCTORA NICING SPA,3552271322,3,86640763.95121951,1,1,5,0
CONSTRUCTORA NPA SPA,131632802,1,32908200.5,1,2,2,0
CONSTRUCTORA NUEVO AMANECER S.A.,2855959503,15,58284887.81632653,4,2,4,0
CONSTRUCTORA OCS LIMITADA,935630145,1,77969178.75,1,2,2,0
CONSTRUCTORA OLBERTZ LIMITADA,1297043665,4,68265456.05263157,1,1,1,0
CONSTRUCTORA OSCAR NUNEZ SPA.,4043135421,10,74872878.16666667,3,2,4,0
CONSTRUCTORA P & R LIMITADA,2392204218,5,125905485.15789473,1,3,3,0
CONSTRUCTORA PABLO CONTRERAS SEMBLER LIMITADA,5155416455,16,57926027.584269665,3,8,9,3
CONSTRUCTORA PANORAMA SPA,2263885999,8,58048358.94871795,3,4,3,0
CONSTRUCTORA PATAGONIA LTDA.,37464118758,29,107347045.15186246,1,6,15,3
CONSTRUCTORA PATRICIO ATRIA ARDILES EIRL,750776593,7,19757278.763157893,3,1,5,0
CONSTRUCTORA PATRICIO MORALES MELLA E.I.R.L,8864923188,16,76421751.62068966,2,2,5,0
CONSTRUCTORA PEHUENCHE LTDA.,16587105409,27,79745699.08173077,4,3,6,3
CONSTRUCTORA PELDEHUE FV CONPAX LIMITADA,12452909622,1,622645481.1,1,1,2,0
CONSTRUCTORA PEREZ Y GOMEZ LTDA.,5418050697,2,135451267.425,1,2,4,0
CONSTRUCTORA PILEN LIMITADA,1231087681,3,123108768.1,1,1,3,0
CONSTRUCTORA PIO - V - LTDA.,1480827858,1,87107521.05882353,1,1,2,0
CONSTRUCTORA PIREN SPA,73220006,3,14644001.2,2,2,1,0
CONSTRUCTORA POO LTDA,20246645048,14,120515744.33333333,2,3,7,3
CONSTRUCTORA PROAS LIMITADA,605207873,1,151301968.25,1,1,2,0
CONSTRUCTORA PUERTO TRANQUILO LIMITADA,3685564329,1,167525651.3181818,1,1,3,0
CONSTRUCTORA PUYEHUE LTDA.,267469550,3,44578258.333333336,1,1,1,0
CONSTRUCTORA QUILPOCO LTDA.,8512954965,25,61688079.45652174,4,2,9,3
CONSTRUCTORA QUITRALCO S.A.,703161376,3,70316137.6,1,1,2,0
CONSTRUCTORA RADALCO LTDA,13228090559,19,93155567.31690142,3,3,14,3
CONSTRUCTORA RAMCO LTDA.,730424603,2,52173185.928571425,1,2,2,0
CONSTRUCTORA RAUL PIZARRO Y OTRA LTDA.,1605731802,4,44603661.166666664,2,1,5,0
CONSTRUCTORA RAYMAR LIMITADA,31087212166,32,135752018.19213974,8,6,13,3
CONSTRUCTORA RECONDO S.A.,12227095391,11,109170494.5625,1,1,3,0
CONSTRUCTORA REGIONAL SPA,32187120,1,16093560.0,1,1,1,0
CONSTRUCTORA REMAVESA COPCISA II LTDA.,2872310579,1,143615528.95,1,1,4,0
CONSTRUCTORA REMAVESA COPCISA III LTDA.,14944186286,1,467005821.4375,1,1,5,0
CONSTRUCTORA REMAVESA COPCISA LIMITADA,2267140518,1,206103683.45454547,1,1,4,0
CONSTRUCTORA RENOVA LTDA,176447439,3,17644743.9,1,1,2,0
CONSTRUCTORA REYES & REYES S.A.,499303170,1,38407936.15384615,1,1,2,0
CONSTRUCTORA RIO ALLIPEN LTDA,2881092144,12,61299832.85106383,2,2,4,0
